id,title,release_date,recent_reviews,all_reviews,price,developers,number_languages,compatible_os,tags
465490,Stellar Tactics,"22 Sep, 2016","['76', '17', '30']","['83', '975']","['16,79']",['Maverick Games'],5,1,"['CRPG', 'RPG', 'Party-BasedRPG', 'CharacterCustomization', 'TacticalRPG', 'Turn-BasedCombat', 'Isometric', 'OpenWorld', 'Sandbox', 'Post-apocalyptic', 'Turn-BasedTactics', 'Sci-fi', 'Singleplayer', 'Space', 'EarlyAccess', 'Indie', 'Turn-Based', 'Adventure', 'Strategy', 'Exploration']"
1339860,Lumione,"12 Oct, 2021","['73', '19', '30']","['80', '357']","['9,99']",['Glimmer Studio'],10,1,"['Platformer', 'PrecisionPlatformer', '2D', 'Beautiful', 'Indie', 'Singleplayer', 'Action-Adventure', 'Fantasy', 'Atmospheric', 'RPG', 'ActionRPG', 'CharacterActionGame', '2DPlatformer', 'PuzzlePlatformer', 'Flight', 'Adventure', 'Underwater', 'Cute', 'Linear', 'Action']"
1325800,Viticulture Essential Edition,"10 Jul, 2020","['61', '118']",,"['12,49']",['DIGIDICED'],8,3,"['Strategy', 'Indie', 'Casual', 'BoardGame', 'Singleplayer', 'Turn-Based', 'Multiplayer', 'Atmospheric', 'ReplayValue', 'Difficult', '2D', 'Cute', 'Classic']"
523150,Mahjong World Contest (麻将),"7 Oct, 2016","['89', '120']","['89', '120']","['4,99']",['Creobit'],10,1,"['Casual', 'Indie', 'Puzzle']"
477750,Thirty Years' War,"3 Sep, 2015","['64', '34']",,"['27,99']","['Ageod', 'HQ']",4,1,"['Strategy', 'Simulation', 'Historical', 'Wargame', 'GrandStrategy']"
320820,Toren,"11 May, 2015","['65', '911']",,"['9,99']",['Swordtales'],5,2,"['Adventure', 'Indie', 'FemaleProtagonist', 'Singleplayer', 'PuzzlePlatformer', 'Atmospheric', 'GreatSoundtrack', 'Short', 'Action', 'Puzzle', 'Dragons', 'Fantasy', 'RPG', '3DPlatformer', 'Platformer', 'ThirdPerson']"
1630920,Bright Lights of Svetlov,"14 Sep, 2021","['95', '60', '30']","['91', '502']","['3,99']",['Vladimir Cholokyan'],2,1,"['WalkingSimulator', '1980s', 'Atmospheric', 'First-Person', 'Adventure', 'Narration', 'Exploration', 'Drama', 'Linear', 'Indie', 'Singleplayer', 'Simulation', 'FPS', 'ImmersiveSim', 'Realistic', 'Horror', 'PsychologicalHorror', 'StoryRich', 'Mystery', 'Emotional']"
1100420,Praetorians - HD Remaster,"24 Jan, 2020","['90', '511']","['90', '511']","['19,99']","['Torus Games', 'Pyro Studios']",11,1,"['Strategy', 'RTS', 'OldSchool', 'Multiplayer', 'RealTimeTactics', 'Rome', 'Historical']"
21010,Watchmen: The End is Nigh,"4 Mar, 2009","['67', '380']",,"['4,99']",['Deadline Games'],5,1,"['Action', 'Superhero', ""Beat'emup"", 'LocalCo-Op', 'ThirdPerson', 'Fighting']"
363970,Clicker Heroes,"13 May, 2015","['89', '339', '30']","['90', '56,599']",[],['Playsaurus'],15,2,"['Clicker', 'FreetoPlay', 'Casual', 'Singleplayer', '2D', 'Indie', 'Funny', 'Addictive', 'RPG', 'Adventure', 'Fantasy', 'FamilyFriendly', 'Strategy', 'Simulation', 'Multiplayer', 'Touch-Friendly', 'Idler', 'Management', 'Action', 'Illuminati']"
